RECNO,Name,StaadName,AX,D,B,T,Iz,Iy,Ix,Zx,Zy
26,"TUB38384.05","TUB38384.05",5.0800000000000001e+00,3.8000000000000000e+01,3.8000000000000000e+01,4.0000000000000000e+00,9.3200000000000003e+00,9.3200000000000003e+00,1.5699999999999999e+01,4.9000000000000004e+00,4.9000000000000004e+00
27,"TUB65322.9","TUB65322.9",5.0700000000000003e+00,6.5000000000000000e+01,3.2000000000000000e+01,2.8999999999999999e+00,2.5719999999999999e+01,8.3599999999999994e+00,2.1809999999999999e+01,7.9199999999999999e+00,5.2300000000000004e+00
28,"TUB45453.2","TUB45453.2",5.0899999999999999e+00,4.5000000000000000e+01,4.5000000000000000e+01,3.2000000000000002e+00,1.4410000000000000e+01,1.4410000000000000e+01,2.3370000000000001e+01,6.4000000000000004e+00,6.4000000000000004e+00
29,"TUB49492.9","TUB49492.9",5.1900000000000004e+00,4.9000000000000000e+01,4.9000000000000000e+01,2.8999999999999999e+00,1.8370000000000001e+01,1.8370000000000001e+01,2.9350000000000001e+01,7.4199999999999999e+00,7.4199999999999999e+00
30,"TUB66332.9","TUB66332.9",5.1900000000000004e+00,6.6000000000000000e+01,3.3000000000000000e+01,2.8999999999999999e+00,2.7329999999999998e+01,9.1199999999999992e+00,2.2449999999999999e+01,8.2799999999999994e+00,5.5300000000000002e+00
31,"TUB60402.9","TUB60402.9",5.2500000000000000e+00,6.0000000000000000e+01,4.0000000000000000e+01,2.8999999999999999e+00,2.4739999999999998e+01,1.3109999999999999e+01,2.7629999999999999e+01,8.2500000000000000e+00,6.5599999999999996e+00
32,"TUB70302.9","TUB70302.9",5.2500000000000000e+00,7.0000000000000000e+01,3.0000000000000000e+01,2.8999999999999999e+00,2.9820000000000000e+01,7.7199999999999998e+00,2.0359999999999999e+01,8.5199999999999996e+00,5.1399999999999997e+00
33,"TUB40404.0","TUB40404.0",5.3499999999999996e+00,4.0000000000000000e+01,4.0000000000000000e+01,4.0000000000000000e+00,1.1070000000000000e+01,1.1070000000000000e+01,1.8660000000000000e+01,5.5400000000000000e+00,5.5400000000000000e+00
34,"TUB45453.6","TUB45453.6",5.6299999999999999e+00,4.5000000000000000e+01,4.5000000000000000e+01,3.6000000000000001e+00,1.5670000000000000e+01,1.5670000000000000e+01,2.5539999999999999e+01,6.9199999999999999e+00,6.9199999999999999e+00
35,"TUB70303.2","TUB70303.2",5.7300000000000004e+00,7.0000000000000000e+01,3.0000000000000000e+01,3.2000000000000002e+00,3.2039999999999999e+01,8.2400000000000002e+00,2.1910000000000000e+01,9.1500000000000004e+00,5.4900000000000002e+00
36,"TUB48483.65","TUB48483.65",6.1299999999999999e+00,4.8000000000000000e+01,4.8000000000000000e+01,3.7000000000000002e+00,1.9510000000000002e+01,1.9510000000000002e+01,3.3450000000000003e+01,8.1300000000000008e+00,8.1300000000000008e+00
37,"TUB65323.65","TUB65323.65",6.2100000000000000e+00,6.5000000000000000e+01,3.2000000000000000e+01,3.7000000000000002e+00,3.0219999999999999e+01,9.6999999999999993e+00,2.5930000000000000e+01,9.3000000000000007e+00,6.0599999999999996e+00
38,"TUB49493.6","TUB49493.6",6.2800000000000002e+00,4.9000000000000000e+01,4.9000000000000000e+01,3.6000000000000001e+00,2.1420000000000002e+01,2.1420000000000002e+01,3.4810000000000002e+01,8.6600000000000001e+00,8.6600000000000001e+00
39,"TUB66333.6","TUB66333.6",6.2800000000000002e+00,6.6000000000000000e+01,3.3000000000000000e+01,3.6000000000000001e+00,3.1870000000000001e+01,1.0520000000000000e+01,2.6399999999999999e+01,9.6600000000000001e+00,6.3700000000000001e+00
40,"TUB80402.9","TUB80402.9",6.4100000000000001e+00,8.0000000000000000e+01,4.0000000000000000e+01,2.8999999999999999e+00,5.0869999999999997e+01,1.7109999999999999e+01,4.1549999999999997e+01,1.2720000000000001e+01,8.5600000000000005e+00
41,"TUB45454.5","TUB45454.5",6.7699999999999996e+00,4.5000000000000000e+01,4.5000000000000000e+01,4.5000000000000000e+00,1.7739999999999998e+01,1.7739999999999998e+01,2.9890000000000001e+01,7.8799999999999999e+00,7.8799999999999999e+00
