RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Ix,Ct,Iy,Zx,Zy
195,"I80016A50040","I80016A50040",7.3100000000000000e+02,8.8000000000000000e+02,5.0000000000000000e+02,1.6000000000000000e+01,4.0000000000000000e+01,1.0363620000000000e+06,2.4620000000000000e+03,0.0000000000000000e+00,9.3008000000000000e+04,2.6586000000000000e+04,6.1090000000000000e+03
196,"I80016B55040","I80016B55040",7.3900000000000000e+02,8.8000000000000000e+02,5.5000000000000000e+02,1.6000000000000000e+01,4.0000000000000000e+01,1.0904500000000000e+06,2.5840000000000000e+03,0.0000000000000000e+00,1.2884300000000000e+05,2.6642000000000000e+04,6.6210000000000000e+03
197,"I160016C50025","I160016C50025",7.4500000000000000e+02,1.6500000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,2.5000000000000000e+01,3.5877170000000000e+06,9.9700000000000000e+02,0.0000000000000000e+00,7.3728000000000000e+04,4.8150000000000000e+04,4.3470000000000000e+03
198,"I160016B50032","I160016B50032",7.4700000000000000e+02,1.6640000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,3.2000000000000000e+01,3.7135680000000000e+06,1.4390000000000000e+03,0.0000000000000000e+00,8.4620000000000000e+04,4.8794000000000000e+04,4.6220000000000000e+03
199,"I160012C50032","I160012C50032",7.5100000000000000e+02,1.6640000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,3.2000000000000000e+01,3.9316750000000000e+06,1.4430000000000000e+03,0.0000000000000000e+00,8.7607000000000000e+04,5.1390000000000000e+04,5.1290000000000000e+03
200,"I125012A50040","I125012A50040",7.5300000000000000e+02,1.3300000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,4.0000000000000000e+01,2.5504030000000000e+06,2.4250000000000000e+03,0.0000000000000000e+00,9.2585000000000000e+04,4.2282000000000000e+04,6.0620000000000000e+03
201,"I125012B55040","I125012B55040",7.6100000000000000e+02,1.3300000000000000e+03,5.5000000000000000e+02,1.2000000000000000e+01,4.0000000000000000e+01,2.6493970000000000e+06,2.5470000000000000e+03,0.0000000000000000e+00,1.2829400000000000e+05,4.2517000000000000e+04,6.5810000000000000e+03
202,"I160012B50040","I160012B50040",7.6300000000000000e+02,1.6800000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,4.0000000000000000e+01,4.1361550000000000e+06,2.3540000000000000e+03,0.0000000000000000e+00,1.0071600000000000e+05,5.2922000000000000e+04,5.5430000000000000e+03
203,"I100016A50040","I100016A50040",7.6300000000000000e+02,1.0800000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,4.0000000000000000e+01,1.6424760000000000e+06,2.4890000000000000e+03,0.0000000000000000e+00,9.3014000000000000e+04,3.4056000000000000e+04,6.1220000000000000e+03
204,"I160016C55025","I160016C55025",7.7000000000000000e+02,1.6500000000000000e+03,5.5000000000000000e+02,1.6000000000000000e+01,2.5000000000000000e+01,3.7527690000000000e+06,1.0500000000000000e+03,0.0000000000000000e+00,9.0967000000000000e+04,5.0181000000000000e+04,5.0030000000000000e+03
205,"I125016B50040","I125016B50040",7.7100000000000000e+02,1.3300000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,4.0000000000000000e+01,2.5480380000000000e+06,2.4320000000000000e+03,0.0000000000000000e+00,1.0127500000000000e+05,4.1499000000000000e+04,5.6000000000000000e+03
206,"I100016B55040","I100016B55040",7.7100000000000000e+02,1.0800000000000000e+03,5.5000000000000000e+02,1.6000000000000000e+01,4.0000000000000000e+01,1.7155270000000000e+06,2.6110000000000000e+03,0.0000000000000000e+00,1.2885000000000000e+05,3.4192000000000000e+04,6.6340000000000000e+03
207,"I160016B55032","I160016B55032",7.7900000000000000e+02,1.6640000000000000e+03,5.5000000000000000e+02,1.6000000000000000e+01,3.2000000000000000e+01,3.9266690000000000e+06,1.5480000000000000e+03,0.0000000000000000e+00,1.0668700000000000e+05,5.1405000000000000e+04,5.4620000000000000e+03
208,"I160016A50032","I160016A50032",7.7900000000000000e+02,1.6640000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,3.2000000000000000e+01,3.8430880000000000e+06,1.5300000000000000e+03,0.0000000000000000e+00,7.6368000000000000e+04,5.1700000000000000e+04,5.1600000000000000e+03
209,"I160016A40040","I160016A40040",7.7900000000000000e+02,1.6800000000000000e+03,4.0000000000000000e+02,1.6000000000000000e+01,4.0000000000000000e+01,3.8641830000000000e+06,2.1440000000000000e+03,0.0000000000000000e+00,5.2368000000000000e+04,5.1828000000000000e+04,4.3600000000000000e+03
210,"I160016D50025","I160016D50025",7.8100000000000000e+02,1.6500000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,2.5000000000000000e+01,3.7301520000000000e+06,1.0360000000000000e+03,0.0000000000000000e+00,7.3802000000000000e+04,5.0998000000000000e+04,5.0050000000000000e+03
211,"I160012C55032","I160012C55032",7.8300000000000000e+02,1.6640000000000000e+03,5.5000000000000000e+02,1.2000000000000000e+01,3.2000000000000000e+01,4.1447760000000000e+06,1.5520000000000000e+03,0.0000000000000000e+00,1.0967400000000000e+05,5.4001000000000000e+04,5.9690000000000000e+03
212,"I160012D50032","I160012D50032",7.8700000000000000e+02,1.6640000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,3.2000000000000000e+01,4.0741100000000000e+06,1.4810000000000000e+03,0.0000000000000000e+00,8.7659000000000000e+04,5.4237000000000000e+04,5.7810000000000000e+03
213,"I160012A50040","I160012A50040",7.9500000000000000e+02,1.6800000000000000e+03,5.0000000000000000e+02,1.2000000000000000e+01,4.0000000000000000e+01,4.2656760000000000e+06,2.4450000000000000e+03,0.0000000000000000e+00,9.2590000000000000e+04,5.5828000000000000e+04,6.0750000000000000e+03
214,"I125016A50040","I125016A50040",8.0300000000000000e+02,1.3300000000000000e+03,5.0000000000000000e+02,1.6000000000000000e+01,4.0000000000000000e+01,2.6155070000000000e+06,2.5230000000000000e+03,0.0000000000000000e+00,9.3023000000000000e+04,4.3844000000000000e+04,6.1380000000000000e+03
